"underlying","underlying_last","type","expiration","quotedate","strike","bid","ask","volume"
SPXW,2887.61,call,"2019-10-14","2019-10-02",2000.0,879.0,885.3,4
SPXW,2887.61,put,"2019-10-14","2019-10-02",2450.0,0.25,0.4,200
SPXW,2887.61,put,"2019-10-14","2019-10-02",2500.0,0.45,0.6,61
SPXW,2887.61,put,"2019-10-14","2019-10-02",2540.0,0.65,0.8,199
SPXW,2887.61,put,"2019-10-14","2019-10-02",2550.0,0.75,0.9,5
SPXW,2887.61,put,"2019-10-14","2019-10-02",2570.0,0.95,1.1,20
SPXW,2887.61,put,"2019-10-14","2019-10-02",2575.0,1.0,1.15,574
SPXW,2887.61,put,"2019-10-14","2019-10-02",2580.0,1.05,1.2,2
SPXW,2887.61,put,"2019-10-14","2019-10-02",2590.0,1.15,1.3,6
SPXW,2887.61,put,"2019-10-14","2019-10-02",2600.0,1.3,1.4,576
SPXW,2887.61,put,"2019-10-14","2019-10-02",2610.0,1.45,1.6,20
SPXW,2887.61,put,"2019-10-14","2019-10-02",2625.0,1.7,1.85,1056
SPXW,2887.61,put,"2019-10-14","2019-10-02",2630.0,1.8,1.95,22
SPXW,2887.61,put,"2019-10-14","2019-10-02",2640.0,2.0,2.2,1
SPXW,2887.61,put,"2019-10-14","2019-10-02",2650.0,2.25,2.45,1083
SPXW,2887.61,put,"2019-10-14","2019-10-02",2660.0,2.55,2.75,35
SPXW,2887.61,put,"2019-10-14","2019-10-02",2670.0,2.9,3.1,10
SPXW,2887.61,put,"2019-10-14","2019-10-02",2675.0,3.1,3.3,1
SPXW,2887.61,put,"2019-10-14","2019-10-02",2685.0,3.5,3.8,5
SPXW,2887.61,put,"2019-10-14","2019-10-02",2695.0,3.9,4.3,2
SPXW,2887.61,put,"2019-10-14","2019-10-02",2700.0,4.2,4.5,85
SPXW,2887.61,put,"2019-10-14","2019-10-02",2705.0,4.4,4.8,4
SPXW,2887.61,put,"2019-10-14","2019-10-02",2710.0,4.7,5.1,2
SPXW,2887.61,put,"2019-10-14","2019-10-02",2715.0,5.1,5.5,3
SPXW,2887.61,put,"2019-10-14","2019-10-02",2720.0,5.4,5.8,19
SPXW,2887.61,put,"2019-10-14","2019-10-02",2725.0,5.8,6.2,3
SPXW,2887.61,put,"2019-10-14","2019-10-02",2730.0,6.2,6.6,7
SPXW,2887.61,put,"2019-10-14","2019-10-02",2735.0,6.6,7.0,28
SPXW,2887.61,put,"2019-10-14","2019-10-02",2740.0,7.1,7.5,111
SPXW,2887.61,put,"2019-10-14","2019-10-02",2745.0,7.5,8.0,14
SPXW,2887.61,put,"2019-10-14","2019-10-02",2750.0,8.1,8.5,112
SPXW,2887.61,put,"2019-10-14","2019-10-02",2755.0,8.6,9.0,9
SPXW,2887.61,put,"2019-10-14","2019-10-02",2760.0,9.2,9.6,24
SPXW,2887.61,put,"2019-10-14","2019-10-02",2765.0,9.8,10.3,28
SPXW,2887.61,put,"2019-10-14","2019-10-02",2770.0,10.5,11.0,56
SPXW,2887.61,put,"2019-10-14","2019-10-02",2775.0,11.2,11.7,9
SPXW,2887.61,put,"2019-10-14","2019-10-02",2780.0,11.9,12.5,123
SPXW,2887.61,put,"2019-10-14","2019-10-02",2785.0,12.7,13.3,31
SPXW,2887.61,put,"2019-10-14","2019-10-02",2790.0,13.6,14.2,11
SPXW,2887.61,put,"2019-10-14","2019-10-02",2795.0,14.5,15.1,1
SPXW,2887.61,call,"2019-10-14","2019-10-02",2800.0,97.7,101.5,2
SPXW,2887.61,put,"2019-10-14","2019-10-02",2800.0,15.4,16.0,675
SPXW,2887.61,put,"2019-10-14","2019-10-02",2805.0,16.4,17.0,179
SPXW,2887.61,put,"2019-10-14","2019-10-02",2810.0,17.4,18.1,77
SPXW,2887.61,put,"2019-10-14","2019-10-02",2815.0,18.5,19.3,173
SPXW,2887.61,put,"2019-10-14","2019-10-02",2820.0,19.7,20.5,46
SPXW,2887.61,put,"2019-10-14","2019-10-02",2825.0,20.9,21.7,150
SPXW,2887.61,put,"2019-10-14","2019-10-02",2830.0,22.2,23.0,2237
SPXW,2887.61,put,"2019-10-14","2019-10-02",2835.0,23.5,24.4,8
SPXW,2887.61,call,"2019-10-14","2019-10-02",2840.0,67.3,71.3,1
SPXW,2887.61,put,"2019-10-14","2019-10-02",2840.0,24.9,25.8,427
SPXW,2887.61,put,"2019-10-14","2019-10-02",2845.0,26.0,27.6,14
SPXW,2887.61,call,"2019-10-14","2019-10-02",2850.0,60.3,64.3,8
SPXW,2887.61,put,"2019-10-14","2019-10-02",2850.0,27.6,29.2,739
SPXW,2887.61,call,"2019-10-14","2019-10-02",2855.0,56.8,61.1,19
SPXW,2887.61,put,"2019-10-14","2019-10-02",2855.0,29.2,30.8,29
SPXW,2887.61,call,"2019-10-14","2019-10-02",2860.0,53.7,55.6,16
SPXW,2887.61,put,"2019-10-14","2019-10-02",2860.0,30.8,32.4,37
SPXW,2887.61,call,"2019-10-14","2019-10-02",2865.0,50.5,52.4,11
