,Unnamed: 0,underlying,type,expiration,quotedate,strike,bid,ask,volume,bs,garch,gp
0,0,SPXW,call,2019-10-14,2019-10-02,2000.0,879.0,885.3,4,888.7624328788625,888.5549630223207,886.765474745161
1,1,SPXW,put,2019-10-14,2019-10-02,2450.0,0.25,0.4,200,6.354413418490148e-09,0.0,0.0
2,2,SPXW,put,2019-10-14,2019-10-02,2500.0,0.45,0.6,61,5.814928108861339e-07,0.0,0.0
3,3,SPXW,put,2019-10-14,2019-10-02,2540.0,0.65,0.8,199,1.3970011868574134e-05,0.005993662996528693,0.0012455964376082
4,4,SPXW,put,2019-10-14,2019-10-02,2550.0,0.75,0.9,5,2.91976541172273e-05,0.0,0.0
5,5,SPXW,put,2019-10-14,2019-10-02,2570.0,0.95,1.1,20,0.0001192908054991,0.0,0.0
6,6,SPXW,put,2019-10-14,2019-10-02,2575.0,1.0,1.15,574,0.0001672906167281,0.0,0.0
7,7,SPXW,put,2019-10-14,2019-10-02,2580.0,1.05,1.2,2,0.0002333407270659,0.0,0.0117559004353897
8,8,SPXW,put,2019-10-14,2019-10-02,2590.0,1.15,1.3,6,0.0004467456037916,0.0,0.0
9,9,SPXW,put,2019-10-14,2019-10-02,2600.0,1.3,1.4,576,0.0008374399842281,0.12041928283450032,0.0015050054640613
10,10,SPXW,put,2019-10-14,2019-10-02,2610.0,1.45,1.6,20,0.0015374759871213,0.01504285663637164,0.006586053602582
11,11,SPXW,put,2019-10-14,2019-10-02,2625.0,1.7,1.85,1056,0.0036808165542805,0.18167535524380915,0.0111718482385012
12,12,SPXW,put,2019-10-14,2019-10-02,2630.0,1.8,1.95,22,0.0048747564427932,0.023070906111909855,0.0251830401622295
13,13,SPXW,put,2019-10-14,2019-10-02,2640.0,2.0,2.2,1,0.0084240257361323,0.0,0.0358894057909437
14,14,SPXW,put,2019-10-14,2019-10-02,2650.0,2.25,2.45,1083,0.0142758397220452,0.16109098875772818,0.0284795339299874
15,15,SPXW,put,2019-10-14,2019-10-02,2660.0,2.55,2.75,35,0.0237322566269271,0.06350429404181972,0.0328680671354254
16,16,SPXW,put,2019-10-14,2019-10-02,2670.0,2.9,3.1,10,0.0387144407201125,0.15102607939417145,0.1009733987498292
17,17,SPXW,put,2019-10-14,2019-10-02,2675.0,3.1,3.3,1,0.0491030111758199,0.13944572656409382,0.0720184806494838
18,18,SPXW,put,2019-10-14,2019-10-02,2685.0,3.5,3.8,5,0.0779119954559028,0.08083049635878664,0.1733551535922542
19,19,SPXW,put,2019-10-14,2019-10-02,2695.0,3.9,4.3,2,0.1214103434874473,0.4881229321230083,0.1962289742609994
20,20,SPXW,put,2019-10-14,2019-10-02,2700.0,4.2,4.5,85,0.150551526022646,0.08508546496048819,0.3180212120827316
21,21,SPXW,put,2019-10-14,2019-10-02,2705.0,4.4,4.8,4,0.185869608079404,0.27671306261587536,0.276103722633882
22,22,SPXW,put,2019-10-14,2019-10-02,2710.0,4.7,5.1,2,0.2284777519699226,0.3490559601789611,0.3138243797732746
23,23,SPXW,put,2019-10-14,2019-10-02,2715.0,5.1,5.5,3,0.2796471892500278,0.04415342845985377,0.3439151026481351
24,24,SPXW,put,2019-10-14,2019-10-02,2720.0,5.4,5.8,19,0.3408213865822205,0.7737860829684804,0.4375876026294797
25,25,SPXW,put,2019-10-14,2019-10-02,2725.0,5.8,6.2,3,0.4136300018514802,0.5262636115843938,0.5311320121080619
26,26,SPXW,put,2019-10-14,2019-10-02,2730.0,6.2,6.6,7,0.4999023290696343,0.5971405426316035,0.6527222431204774
27,27,SPXW,put,2019-10-14,2019-10-02,2735.0,6.6,7.0,28,0.6016798977616418,0.5831352709886882,0.7224706146850981
28,28,SPXW,put,2019-10-14,2019-10-02,2740.0,7.1,7.5,111,0.7212278645650656,0.578057369208454,0.8660958588775356
29,29,SPXW,put,2019-10-14,2019-10-02,2745.0,7.5,8.0,14,0.8610448132683359,1.4471415539221621,0.98066472548868
30,30,SPXW,put,2019-10-14,2019-10-02,2750.0,8.1,8.5,112,1.0238705660223104,0.6520843708127925,1.3369987514785688
31,31,SPXW,put,2019-10-14,2019-10-02,2755.0,8.6,9.0,9,1.2126916044614262,0.6561146620817343,1.3428944905903526
32,32,SPXW,put,2019-10-14,2019-10-02,2760.0,9.2,9.6,24,1.4307437062443853,1.3834566837805138,1.4929869737567043
33,33,SPXW,put,2019-10-14,2019-10-02,2765.0,9.8,10.3,28,1.6815114210894535,1.48145335732231,1.878969144607959
